epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
153,13088,0.84244,0.57942,1.21156,0.84921,0.90027,0.89104,0.69805,0.83569,119.237,1.18583,0.00412187,0.00412187,0.00412187
154,13175.6,0.84018,0.57718,1.21301,0.84967,0.89986,0.89117,0.69815,0.83555,119.144,1.18559,0.0040832,0.0040832,0.0040832
155,13259.4,0.84032,0.57702,1.2078,0.84966,0.90072,0.8913,0.69773,0.83523,118.957,1.18535,0.00404453,0.00404453,0.00404453
156,13345.5,0.84409,0.57584,1.20908,0.8501,0.89949,0.89148,0.69778,0.83508,118.864,1.18515,0.00400586,0.00400586,0.00400586
157,13430.4,0.83585,0.57416,1.20653,0.85325,0.89797,0.89148,0.69818,0.835,118.77,1.18504,0.00396719,0.00396719,0.00396719
158,13513.3,0.83739,0.57461,1.20826,0.85236,0.89866,0.89156,0.69858,0.83472,118.677,1.18485,0.00392852,0.00392852,0.00392852
159,13598.9,0.83614,0.57212,1.20571,0.85363,0.89891,0.89152,0.69901,0.83447,118.583,1.18454,0.00388984,0.00388984,0.00388984
160,13681.4,0.83181,0.56949,1.20482,0.85281,0.90002,0.89161,0.69922,0.83432,118.396,1.18446,0.00385117,0.00385117,0.00385117
161,13767.6,0.82829,0.56608,1.19805,0.852,0.90083,0.89165,0.69913,0.83412,118.21,1.18413,0.0038125,0.0038125,0.0038125
162,13850.8,0.83075,0.57277,1.20278,0.8518,0.90025,0.89161,0.69902,0.83379,118.023,1.1837,0.00377383,0.00377383,0.00377383
163,13934.2,0.82693,0.56615,1.20033,0.85163,0.90068,0.89185,0.69939,0.83347,117.836,1.18352,0.00373516,0.00373516,0.00373516
164,14021.4,0.82663,0.5668,1.20466,0.85236,0.90061,0.89199,0.69961,0.8332,117.65,1.18327,0.00369648,0.00369648,0.00369648
165,14107.4,0.82162,0.56349,1.19336,0.85279,0.90047,0.89206,0.70023,0.83293,117.649,1.18275,0.00365781,0.00365781,0.00365781
